Year,Index
2001-01-06,696
2001-01-09,697
2001-01-25,699
2001-02-04,700
2001-02-10,701
2001-02-15,702
2001-02-22,703
2001-02-27,704
2001-03-08,705
2001-03-22,706
2001-04-22,707
2001-05-03,708
2001-05-10,709
2001-05-12,710
2001-05-13,711
2001-05-28,712
2001-05-30,713
2001-06-05,714
2001-06-10,715
2001-06-21,716
2001-06-24,717
2001-06-25,718
2001-06-30,721
2001-07-05,722
2001-07-05,723
2001-07-08,726
2001-07-12,727
2001-07-29,729
2001-07-29,730
2001-07-30,731
2001-07-30,732
2001-08-02,735
2001-08-02,736
2001-08-07,738
2001-08-10,739
2001-08-16,740
2001-08-19,741
2001-08-20,743
2001-08-30,744
2001-09-18,745
2001-09-27,746
2001-10-07,747
2001-10-15,748
2001-10-18,749
2001-11-04,750
2001-12-09,751
2001-12-27,752
2002-01-19,755
2002-02-02,756
2002-02-10,758
2002-02-11,760
2002-02-21,761
2002-02-28,762
2002-03-07,763
2002-03-08,764
2002-03-31,765
2002-04-01,766
2002-04-01,767
2002-04-14,769
2002-04-15,770
2002-04-21,772
2002-04-24,773
2002-05-05,774
2002-05-09,775
2002-05-14,776
2002-05-24,777
2002-06-02,778
2002-06-09,779
2002-06-13,780
2002-06-17,781
2002-06-30,783
2002-07-05,785
2002-07-07,786
2002-07-11,787
2002-07-16,790
2002-07-21,791
2002-07-22,793
2002-07-25,794
2002-07-25,795
2002-08-01,796
2002-08-01,797
2002-08-07,798
2002-08-08,799
2002-09-30,800
2002-10-06,801
2002-10-07,802
2002-10-21,803
2002-10-21,804
2002-12-10,808
2002-12-26,811
2002-12-26,812
2002-12-29,813
2003-01-09,814
2003-01-21,815
2003-01-25,816
2003-01-27,817
2003-01-28,818
2003-02-18,819
2003-02-23,820
2003-03-06,822
2003-03-06,823
2003-03-09,824
2003-03-12,825
2003-03-23,826
2003-03-27,827
2003-04-13,828
2003-05-01,830
2003-05-04,831
2003-05-18,832
2003-05-18,833
2003-05-18,834
2003-06-03,835
2003-06-05,836
2003-06-09,837
2003-06-10,838
2003-06-15,839
2003-06-25,841
2003-06-26,842
2003-06-30,843
2003-07-05,844
2003-07-10,845
2003-07-11,846
2003-07-25,848
2003-09-07,850
2003-09-28,851
2003-10-05,852
2003-10-10,853
2003-10-18,854
2003-11-09,856
2003-11-11,857
2003-11-16,858
2003-11-24,859
2003-11-24,860
2003-12-04,861
2003-12-14,862
2003-12-18,863
2004-02-19,866
2004-02-19,867
2004-02-20,868
2004-02-20,869
2004-02-24,870
2004-02-26,871
2004-03-01,872
2004-03-08,873
2004-03-11,874
2004-03-14,875
2004-03-21,876
2004-04-27,877
2004-05-09,878
2004-05-13,880
2004-05-14,883
2004-05-19,884
2004-05-20,885
2004-05-22,886
2004-06-06,888
2004-06-13,889
2004-06-17,890
2004-07-06,891
2004-07-22,895
2004-07-24,896
2004-08-12,898
2004-08-12,899
2004-08-16,900
2004-09-27,903
2004-09-30,904
2004-10-14,905
2004-10-18,906
2004-11-01,907
2004-11-04,908
2004-11-07,909
2004-11-22,910
2004-11-25,911
2004-11-28,912
2004-12-03,914
2004-12-12,915
2004-12-19,916
2004-12-26,917
2004-12-26,918
2004-12-27,919
2005-01-30,920
2005-02-01,921
2005-02-08,922
2005-02-10,923
2005-02-24,925
2005-03-06,926
2005-03-24,927
2005-04-13,928
2005-04-13,929
2005-04-24,930
2005-05-05,931
2005-05-23,932
2005-05-26,933
2005-06-05,934
2005-06-07,935
2005-06-29,936
2005-08-07,937
2005-08-07,938
2005-09-12,941
2005-10-08,943
2005-10-14,944
2005-11-05,946
2005-11-27,948
2005-11-27,949
2005-11-30,950
2006-01-01,952
2006-01-14,953
2006-01-14,954
2006-03-05,957
2006-03-05,958
2006-03-13,960
2006-05-04,963
2006-05-08,964
2006-05-25,965
2006-05-30,966
2006-06-12,969
2006-06-16,970
2006-06-24,971
2006-07-09,972
2006-07-18,973
2006-07-18,974
2006-08-03,979
2006-08-20,980
2006-08-20,981
2006-08-30,983
2006-10-08,984
2006-10-15,985
2006-10-22,987
2006-10-25,988
2006-11-02,989
2006-11-02,990
2006-11-12,992
2006-11-13,993
2006-11-13,994
2006-11-24,995
2006-11-30,996
2006-12-22,998
2006-12-23,999
2006-12-26,1000
2007-01-10,1001
2007-01-10,1002
2007-02-12,1004
2007-02-27,1006
2007-03-05,1007
2007-03-07,1008
2007-03-09,1009
2007-03-23,1011
2007-03-23,1012
2007-03-25,1013
2007-03-30,1014
2007-04-01,1016
2007-04-07,1017
2007-05-06,1018
2007-05-16,1019
2007-05-30,1021
2007-07-08,1022
2007-07-19,1024
2007-07-20,1025
2007-07-23,1026
2007-07-23,1027
2007-07-26,1028
2007-07-29,1029
2007-09-23,1032
2007-10-25,1036
2007-10-28,1037
2007-11-10,1039
2007-11-11,1040
2007-11-11,1041
2007-11-19,1046
2007-12-02,1047
2007-12-09,1049
2008-01-25,1052
2008-01-27,1053
2008-01-31,1054
2008-02-05,1055
2008-02-08,1057
2008-02-18,1059
2008-02-22,1061
2008-03-04,1062
2008-03-09,1063
2008-03-16,1065
2008-03-20,1066
2008-03-23,1067
2008-04-01,1068
2008-04-10,1071
2008-04-17,1073
2008-05-01,1076
2008-05-01,1077
2008-05-03,1078
2008-05-08,1079
2008-05-21,1080
2008-06-03,1082
2008-06-03,1083
2008-06-08,1084
2008-06-15,1086
2008-08-26,1090
2008-09-08,1091
2008-09-21,1092
2008-09-22,1093
2008-10-08,1095
2008-11-14,1098
2008-11-25,1102
2008-12-04,1106
2008-12-06,1109
2008-12-14,1110
2008-12-21,1112
2009-01-03,1113
2009-01-08,1114
2009-01-29,1117
2009-03-02,1118
2009-03-03,1119
2009-03-04,1120
2009-03-09,1121
2009-04-01,1126
2009-04-07,1128
2009-04-26,1129
2009-04-27,1132
2009-05-11,1134
2009-05-17,1135
2009-05-24,1137
2009-05-31,1139
2009-06-08,1140
2009-06-14,1141
2009-07-10,1142
2009-07-13,1143
2009-07-25,1144
2009-07-28,1147
2009-07-30,1148
2009-09-10,1151
2009-09-27,1153
2009-10-07,1154
2009-10-22,1156
2009-10-29,1157
2009-12-08,1158
2009-12-11,1159
2009-12-13,1161
2009-12-15,1162
2009-12-20,1164
2010-01-10,1166
2010-01-28,1173
2010-02-10,1177
2010-02-19,1179
2010-02-26,1180
2010-03-09,1184
2010-05-09,1189
2010-06-12,1195
2010-06-16,1199
2010-06-25,1209
2010-06-25,1210
2010-06-25,1211
2010-06-28,1213
2010-07-04,1216
2010-07-05,1217
2010-07-05,1218
2010-07-08,1219
2010-07-10,1220
2010-08-08,1225
2010-08-09,1226
2010-08-09,1227
2010-08-10,1228
2010-08-16,1232
2010-09-01,1235
2010-09-05,1236
2010-09-13,1238
2010-09-22,1239
2010-10-04,1246
2010-10-09,1248
2010-10-10,1251
2010-10-13,1253
2010-10-15,1255
2010-10-24,1258
2010-11-04,1260
2010-11-09,1261
2010-11-13,1262
2010-11-19,1263
2010-11-21,1265
2010-11-23,1266
2010-12-18,1271
2010-12-28,1272
2011-01-02,1273
2011-01-05,1274
2011-01-14,1276
2011-02-06,1277
2011-02-09,1280
2011-02-14,1281
2011-02-14,1282
2011-02-14,1283
2011-02-16,1285
2011-02-17,1286
2011-02-25,1290
2011-03-05,1292
2011-03-06,1294
2011-03-13,1298
2011-03-14,1299
2011-03-19,1302
2011-03-20,1303
2011-03-27,1304
2011-03-31,1305
2011-04-18,1306
2011-05-02,1308
2011-05-04,1309
2011-05-09,1313
2011-05-11,1314
2011-05-15,1315
2011-05-15,1317
2011-06-11,1323
2011-06-12,1324
2011-06-19,1327
2011-07-11,1333
2011-08-05,1338
2011-08-16,1340
2011-08-20,1341
2011-09-11,1344
2011-09-23,1349
2011-10-03,1350
2011-10-06,1359
2011-10-09,1360
2011-10-25,1365
2011-10-26,1366
2011-11-08,1369
2011-11-14,1373
2011-11-25,1378
2011-12-05,1379
2011-12-06,1381
2011-12-06,1382
2011-12-06,1383
2011-12-06,1387
2011-12-13,1392
